index,Strain,Type,Rating,Effects,Flavor,Description,Effects_tokens,Flavor_tokens,Description_tokens,General_Description
2292,White-Nightmare,sativa,4.7,"Uplifted,Euphoric,Happy,Focused,Sleepy","Earthy,Sweet,Berry","Blue Dream’s soaring sativa effects and fruity flavors collide with White Moonshine’s resinous coat of milky trichomes to produce White Nightmare. The sativa-dominant hybrid brings a forceful, sweet aroma of berries and Haze. The flavor stays true to its Blue Dream genetics but with an earthy, hash-like aftertaste. White Nightmare generates a stimulating stream of euphoria and bliss that elevates the mood and brings with it a comfortable, relaxing body high.","['uplifted', 'euphoric', 'happy', 'focused', 'sleepy']","['earthy', 'sweet', 'berry']","['blue', 'dream’s', 'soaring', 'sativa', 'effects', 'fruity', 'flavors', 'collide', 'white', 'moonshine’s', 'resinous', 'coat', 'milky', 'trichomes', 'produce', 'white', 'nightmare.', 'sativa-dominant', 'hybrid', 'brings', 'forceful,', 'sweet', 'aroma', 'berries', 'haze.', 'flavor', 'stays', 'true', 'blue', 'dream', 'genetics', 'earthy,', 'hash-like', 'aftertaste.', 'white', 'nightmare', 'generates', 'stimulating', 'stream', 'euphoria', 'bliss', 'elevates', 'mood', 'brings', 'comfortable,', 'relaxing', 'body', 'high.']","Uplifted,Euphoric,Happy,Focused,SleepyEarthy,Sweet,BerryBlue Dream’s soaring sativa effects and fruity flavors collide with White Moonshine’s resinous coat of milky trichomes to produce White Nightmare. The sativa-dominant hybrid brings a forceful, sweet aroma of berries and Haze. The flavor stays true to its Blue Dream genetics but with an earthy, hash-like aftertaste. White Nightmare generates a stimulating stream of euphoria and bliss that elevates the mood and brings with it a comfortable, relaxing body high."
2293,White-Og,indica,4.5,"Relaxed,Focused,Euphoric,Sleepy,Happy","Earthy,Pine,Flowery",White OG is an indica-dominant strain that was first bred by Karma Genetics by crossing The White with SFV OG Kush. This indica inherits the telltale kush aroma of earthy pine and lemon as well as The White’s heavy trichome coverage. This 2010 and 2014 Cannabis Cup champ is popularly cultivated indoors with a 65 to 75 day flowering time.,"['relaxed', 'focused', 'euphoric', 'sleepy', 'happy']","['earthy', 'pine', 'flowery']","['white', 'og', 'indica-dominant', 'strain', 'bred', 'karma', 'genetics', 'crossing', 'white', 'sfv', 'og', 'kush.', 'indica', 'inherits', 'telltale', 'kush', 'aroma', 'earthy', 'pine', 'lemon', 'white’s', 'heavy', 'trichome', 'coverage.', '2010', '2014', 'cannabis', 'cup', 'champ', 'popularly', 'cultivated', 'indoors', '65', '75', 'day', 'flowering', 'time.']","Relaxed,Focused,Euphoric,Sleepy,HappyEarthy,Pine,FloweryWhite OG is an indica-dominant strain that was first bred by Karma Genetics by crossing The White with SFV OG Kush. This indica inherits the telltale kush aroma of earthy pine and lemon as well as The White’s heavy trichome coverage. This 2010 and 2014 Cannabis Cup champ is popularly cultivated indoors with a 65 to 75 day flowering time."
2294,White-Queen,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Energetic","Earthy,Sweet,Diesel","White Queen is the more accomplished relative of the infamous White Widow. A connoisseur strain, White Queen is known for its extreme potency. This strain is highly psychoactive and has strong euphoric and energizing effects. The hybrid grows well both indoors and outdoors, typically flowering in 8 to 9 weeks. Though this strain is a great stress buster, novice patients should use caution when trying White Queen. Due to its potency, this is not a strain that allows you to get things done. ","['happy', 'relaxed', 'euphoric', 'uplifted', 'energetic']","['earthy', 'sweet', 'diesel']","['white', 'queen', 'accomplished', 'relative', 'infamous', 'white', 'widow.', 'connoisseur', 'strain,', 'white', 'queen', 'known', 'extreme', 'potency.', 'strain', 'highly', 'psychoactive', 'strong', 'euphoric', 'energizing', 'effects.', 'hybrid', 'grows', 'indoors', 'outdoors,', 'typically', 'flowering', '8', '9', 'weeks.', 'strain', 'great', 'stress', 'buster,', 'novice', 'patients', 'use', 'caution', 'trying', 'white', 'queen.', 'potency,', 'strain', 'allows', 'things', 'done.']","Happy,Relaxed,Euphoric,Uplifted,EnergeticEarthy,Sweet,DieselWhite Queen is the more accomplished relative of the infamous White Widow. A connoisseur strain, White Queen is known for its extreme potency. This strain is highly psychoactive and has strong euphoric and energizing effects. The hybrid grows well both indoors and outdoors, typically flowering in 8 to 9 weeks. Though this strain is a great stress buster, novice patients should use caution when trying White Queen. Due to its potency, this is not a strain that allows you to get things done. "
2295,White-Rhino,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Earthy,Sweet,Skunk","White Rhino is a hybrid of White Widow and an unknown North American indica strain, creating a bushy and stout plant. The buds give off a strong and heady high. The plant's parentage hails from Afghanistan, Brazil, and India. White Rhino is one of the best types of marijuana for medicinal use since it has such a high THC content.","['relaxed', 'happy', 'euphoric', 'uplifted', 'sleepy']","['earthy', 'sweet', 'skunk']","['white', 'rhino', 'hybrid', 'white', 'widow', 'unknown', 'north', 'american', 'indica', 'strain,', 'creating', 'bushy', 'stout', 'plant.', 'buds', 'strong', 'heady', 'high.', ""plant's"", 'parentage', 'hails', 'afghanistan,', 'brazil,', 'india.', 'white', 'rhino', 'best', 'types', 'marijuana', 'medicinal', 'use', 'high', 'thc', 'content.']","Relaxed,Happy,Euphoric,Uplifted,SleepyEarthy,Sweet,SkunkWhite Rhino is a hybrid of White Widow and an unknown North American indica strain, creating a bushy and stout plant. The buds give off a strong and heady high. The plant's parentage hails from Afghanistan, Brazil, and India. White Rhino is one of the best types of marijuana for medicinal use since it has such a high THC content."
2296,White-Romulan,hybrid,4.3,"Relaxed,Euphoric,Happy,Uplifted,Creative","Pungent,Skunk,Diesel","White Romulan, a combination of Romulan and The White, is a balanced hybrid bred by OG Raskal Genetics. A strong spiced aroma accompanies the pungent mix of earthy fruit flavors. The effects are surprisingly energetic but will eventually give way to the deep body relaxing properties typical of indica genetics. White Romulan is a good strain to help stimulate your appetite or relieve stress after a hard day’s work.","['relaxed', 'euphoric', 'happy', 'uplifted', 'creative']","['pungent', 'skunk', 'diesel']","['white', 'romulan,', 'combination', 'romulan', 'white,', 'balanced', 'hybrid', 'bred', 'og', 'raskal', 'genetics.', 'strong', 'spiced', 'aroma', 'accompanies', 'pungent', 'mix', 'earthy', 'fruit', 'flavors.', 'effects', 'surprisingly', 'energetic', 'eventually', 'way', 'deep', 'body', 'relaxing', 'properties', 'typical', 'indica', 'genetics.', 'white', 'romulan', 'good', 'strain', 'help', 'stimulate', 'appetite', 'relieve', 'stress', 'hard', 'day’s', 'work.']","Relaxed,Euphoric,Happy,Uplifted,CreativePungent,Skunk,DieselWhite Romulan, a combination of Romulan and The White, is a balanced hybrid bred by OG Raskal Genetics. A strong spiced aroma accompanies the pungent mix of earthy fruit flavors. The effects are surprisingly energetic but will eventually give way to the deep body relaxing properties typical of indica genetics. White Romulan is a good strain to help stimulate your appetite or relieve stress after a hard day’s work."
2297,White-Russian,hybrid,4.3,"Relaxed,Happy,Euphoric,Talkative,Focused","Sweet,Skunk,Citrus","Originally created by Dutch breeders Serious Seeds, White Russian is a cross of two legendary strains, White Widow and AK-47. An indica-dominant hybrid, it won the High Times Cannabis Cup 'Best Overall' in 1996 and was for a time considered the strongest strain in the world at 22% THC. Presenting remarkable homogeneity for an f1 hybrid, White Russian is an extremely fragrant plant, smelling of sweet fruit and skunk even in its vegetative cycle. With a flavor that is smooth and spicy with undertones of skunk and earth, White Russian’s high is quite cerebral (especially for an indica), but can lead to couchlock when over-indulged.","['relaxed', 'happy', 'euphoric', 'talkative', 'focused']","['sweet', 'skunk', 'citrus']","['originally', 'created', 'dutch', 'breeders', 'seeds,', 'white', 'russian', 'cross', 'legendary', 'strains,', 'white', 'widow', 'ak-47.', 'indica-dominant', 'hybrid,', 'won', 'high', 'times', 'cannabis', 'cup', ""'best"", ""overall'"", '1996', 'time', 'considered', 'strongest', 'strain', 'world', '22%', 'thc.', 'presenting', 'remarkable', 'homogeneity', 'f1', 'hybrid,', 'white', 'russian', 'extremely', 'fragrant', 'plant,', 'smelling', 'sweet', 'fruit', 'skunk', 'vegetative', 'cycle.', 'flavor', 'smooth', 'spicy', 'undertones', 'skunk', 'earth,', 'white', 'russian’s', 'high', 'cerebral', '(especially', 'indica),', 'lead', 'couchlock', 'over-indulged.']","Relaxed,Happy,Euphoric,Talkative,FocusedSweet,Skunk,CitrusOriginally created by Dutch breeders Serious Seeds, White Russian is a cross of two legendary strains, White Widow and AK-47. An indica-dominant hybrid, it won the High Times Cannabis Cup 'Best Overall' in 1996 and was for a time considered the strongest strain in the world at 22% THC. Presenting remarkable homogeneity for an f1 hybrid, White Russian is an extremely fragrant plant, smelling of sweet fruit and skunk even in its vegetative cycle. With a flavor that is smooth and spicy with undertones of skunk and earth, White Russian’s high is quite cerebral (especially for an indica), but can lead to couchlock when over-indulged."
2298,White-Ryder,hybrid,0.0,None,None,"White Ryder is Riot Seeds’ attempt to create a ruderalis version of White Widow by crossing Buddha Seeds’ White Dwarf against Lowryder. By blending two stout, autoflowering plants, Riot Seeds created a potent indica-dominant hybrid that finishes in under 80 days and can easily be hidden from view. Enjoy this flower for anti-anxiety and sleep-inducing effects.   ",['none'],['none'],"['white', 'ryder', 'riot', 'seeds’', 'attempt', 'create', 'ruderalis', 'version', 'white', 'widow', 'crossing', 'buddha', 'seeds’', 'white', 'dwarf', 'lowryder.', 'blending', 'stout,', 'autoflowering', 'plants,', 'riot', 'seeds', 'created', 'potent', 'indica-dominant', 'hybrid', 'finishes', '80', 'days', 'easily', 'hidden', 'view.', 'enjoy', 'flower', 'anti-anxiety', 'sleep-inducing', 'effects.', '  ']","NoneNoneWhite Ryder is Riot Seeds’ attempt to create a ruderalis version of White Widow by crossing Buddha Seeds’ White Dwarf against Lowryder. By blending two stout, autoflowering plants, Riot Seeds created a potent indica-dominant hybrid that finishes in under 80 days and can easily be hidden from view. Enjoy this flower for anti-anxiety and sleep-inducing effects.   "
2299,White-Sangria,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Sweet,Lemon,Citrus","White Sangria is the functional indica-dominant hybrid cross of Tahoe Hydro OG and Gelato 45. This strain’s buds are bright green with facets of purple throughout and emanate an aroma of pine, citrus, and sweetness. The buzz is happy and uplifting while leaving the body cozy and collected. Its effects are perfect for patients seeking relief from depression, anxiety, and minor physical discomfort. However, with continued use, this strain can take on a semi-sedative quality and lead to more pervasive relaxation.   ","['relaxed', 'euphoric', 'happy', 'uplifted', 'hungry']","['sweet', 'lemon', 'citrus']","['white', 'sangria', 'functional', 'indica-dominant', 'hybrid', 'cross', 'tahoe', 'hydro', 'og', 'gelato', '45.', 'strain’s', 'buds', 'bright', 'green', 'facets', 'purple', 'emanate', 'aroma', 'pine,', 'citrus,', 'sweetness.', 'buzz', 'happy', 'uplifting', 'leaving', 'body', 'cozy', 'collected.', 'effects', 'perfect', 'patients', 'seeking', 'relief', 'depression,', 'anxiety,', 'minor', 'physical', 'discomfort.', 'however,', 'continued', 'use,', 'strain', 'semi-sedative', 'quality', 'lead', 'pervasive', 'relaxation.', '  ']","Relaxed,Euphoric,Happy,Uplifted,HungrySweet,Lemon,CitrusWhite Sangria is the functional indica-dominant hybrid cross of Tahoe Hydro OG and Gelato 45. This strain’s buds are bright green with facets of purple throughout and emanate an aroma of pine, citrus, and sweetness. The buzz is happy and uplifting while leaving the body cozy and collected. Its effects are perfect for patients seeking relief from depression, anxiety, and minor physical discomfort. However, with continued use, this strain can take on a semi-sedative quality and lead to more pervasive relaxation.   "
2300,White-Siberian,hybrid,4.5,"Uplifted,Focused,Energetic,Creative,Happy","Earthy,Sweet,Flowery","White Siberian is another dynamic ancestor of the popular White Widow. By infusing it with the vigorous AK-47, Dinafem Seeds has managed to increase the sweet aroma and flavor while leaving just a hint of bitterness. The high CBD content makes it a great choice when suffering from arthritis, PTSD, and chronic pain.","['uplifted', 'focused', 'energetic', 'creative', 'happy']","['earthy', 'sweet', 'flowery']","['white', 'siberian', 'dynamic', 'ancestor', 'popular', 'white', 'widow.', 'infusing', 'vigorous', 'ak-47,', 'dinafem', 'seeds', 'managed', 'increase', 'sweet', 'aroma', 'flavor', 'leaving', 'hint', 'bitterness.', 'high', 'cbd', 'content', 'makes', 'great', 'choice', 'suffering', 'arthritis,', 'ptsd,', 'chronic', 'pain.']","Uplifted,Focused,Energetic,Creative,HappyEarthy,Sweet,FloweryWhite Siberian is another dynamic ancestor of the popular White Widow. By infusing it with the vigorous AK-47, Dinafem Seeds has managed to increase the sweet aroma and flavor while leaving just a hint of bitterness. The high CBD content makes it a great choice when suffering from arthritis, PTSD, and chronic pain."
2301,White-Skunk,hybrid,4.4,"Relaxed,Happy,Tingly,Euphoric,Uplifted","Pungent,Skunk,Sweet","White Skunk is an indica-dominant variation of Skunk from Sensi Seeds’ White Label. In a demonstration of its heritage, White Skunk delivers a sour, skunky flavor and a balance of effects that ease both mind and body into a relaxed state. Like many Skunk varieties, this resilient strain is a great choice for beginner growers and offers bountiful yields after a short flowering cycle. ","['relaxed', 'happy', 'tingly', 'euphoric', 'uplifted']","['pungent', 'skunk', 'sweet']","['white', 'skunk', 'indica-dominant', 'variation', 'skunk', 'sensi', 'seeds’', 'white', 'label.', 'demonstration', 'heritage,', 'white', 'skunk', 'delivers', 'sour,', 'skunky', 'flavor', 'balance', 'effects', 'ease', 'mind', 'body', 'relaxed', 'state.', 'like', 'skunk', 'varieties,', 'resilient', 'strain', 'great', 'choice', 'beginner', 'growers', 'offers', 'bountiful', 'yields', 'short', 'flowering', 'cycle.']","Relaxed,Happy,Tingly,Euphoric,UpliftedPungent,Skunk,SweetWhite Skunk is an indica-dominant variation of Skunk from Sensi Seeds’ White Label. In a demonstration of its heritage, White Skunk delivers a sour, skunky flavor and a balance of effects that ease both mind and body into a relaxed state. Like many Skunk varieties, this resilient strain is a great choice for beginner growers and offers bountiful yields after a short flowering cycle. "
2302,White-Slipper,hybrid,4.7,"Uplifted,Happy,Talkative,Relaxed,Creative","Flowery,Spicy/Herbal,Sweet","White Slipper is a sativa-dominant hybrid that crosses The White and Glass Slipper, resulting in a relaxing strain perfect for shedding stress. Flavors of blueberry and spicy pepper take over on the inhale, and soon to follow is White Slipper’s heavenly euphoria. Its buds grow with shining resin-tipped trichomes that glow with a white luminescence, but let these potent crystals be a warning to novices: White Slipper’s THC content often exceeds 25 percent.","['uplifted', 'happy', 'talkative', 'relaxed', 'creative']","['flowery', 'spicy', 'herbal', 'sweet']","['white', 'slipper', 'sativa-dominant', 'hybrid', 'crosses', 'white', 'glass', 'slipper,', 'resulting', 'relaxing', 'strain', 'perfect', 'shedding', 'stress.', 'flavors', 'blueberry', 'spicy', 'pepper', 'inhale,', 'soon', 'follow', 'white', 'slipper’s', 'heavenly', 'euphoria.', 'buds', 'grow', 'shining', 'resin-tipped', 'trichomes', 'glow', 'white', 'luminescence,', 'let', 'potent', 'crystals', 'warning', 'novices:', 'white', 'slipper’s', 'thc', 'content', 'exceeds', '25', 'percent.']","Uplifted,Happy,Talkative,Relaxed,CreativeFlowery,Spicy/Herbal,SweetWhite Slipper is a sativa-dominant hybrid that crosses The White and Glass Slipper, resulting in a relaxing strain perfect for shedding stress. Flavors of blueberry and spicy pepper take over on the inhale, and soon to follow is White Slipper’s heavenly euphoria. Its buds grow with shining resin-tipped trichomes that glow with a white luminescence, but let these potent crystals be a warning to novices: White Slipper’s THC content often exceeds 25 percent."
2303,White-Smurf,hybrid,4.4,"Talkative,Uplifted,Focused,Giggly,Happy","Minty,Menthol,Violet","The Cannabis Cup People’s Choice winner in 2000, White Smurf is a hybrid strain bred from a Northern Lights x Skunk #1 female and a pure Dutch sativa male. Wonderful smells of fresh citrus fruit will entice you as accents of orange pistils and dusty white resin stand out in a sea of green. This strain is a great choice for social butterflies to lounge out to after a nice dinner.","['talkative', 'uplifted', 'focused', 'giggly', 'happy']","['minty', 'menthol', 'violet']","['cannabis', 'cup', 'people’s', 'choice', 'winner', '2000,', 'white', 'smurf', 'hybrid', 'strain', 'bred', 'northern', 'lights', 'x', 'skunk', '#1', 'female', 'pure', 'dutch', 'sativa', 'male.', 'wonderful', 'smells', 'fresh', 'citrus', 'fruit', 'entice', 'accents', 'orange', 'pistils', 'dusty', 'white', 'resin', 'stand', 'sea', 'green.', 'strain', 'great', 'choice', 'social', 'butterflies', 'lounge', 'nice', 'dinner.']","Talkative,Uplifted,Focused,Giggly,HappyMinty,Menthol,VioletThe Cannabis Cup People’s Choice winner in 2000, White Smurf is a hybrid strain bred from a Northern Lights x Skunk #1 female and a pure Dutch sativa male. Wonderful smells of fresh citrus fruit will entice you as accents of orange pistils and dusty white resin stand out in a sea of green. This strain is a great choice for social butterflies to lounge out to after a nice dinner."
2304,White-Strawberry,hybrid,3.0,Happy,"Citrus,Sweet","White Strawberry is the flavorful cross of The White and Strawberry Cough. This all-day hybrid blends The White’s relaxing physical effects and tertiary gastrointestinal benefits with Strawberry Cough’s cerebral stimulation to create a potent hybrid with medicinal utility. The cerebral effects can be rather spacey, making this strain perfect for repetitive tasks, but with continued consumption it supplies a euphoric mental aloofness that can help one shrug off stress and depression.  ",['happy'],"['citrus', 'sweet']","['white', 'strawberry', 'flavorful', 'cross', 'white', 'strawberry', 'cough.', 'all-day', 'hybrid', 'blends', 'white’s', 'relaxing', 'physical', 'effects', 'tertiary', 'gastrointestinal', 'benefits', 'strawberry', 'cough’s', 'cerebral', 'stimulation', 'create', 'potent', 'hybrid', 'medicinal', 'utility.', 'cerebral', 'effects', 'spacey,', 'making', 'strain', 'perfect', 'repetitive', 'tasks,', 'continued', 'consumption', 'supplies', 'euphoric', 'mental', 'aloofness', 'help', 'shrug', 'stress', 'depression.']","HappyCitrus,SweetWhite Strawberry is the flavorful cross of The White and Strawberry Cough. This all-day hybrid blends The White’s relaxing physical effects and tertiary gastrointestinal benefits with Strawberry Cough’s cerebral stimulation to create a potent hybrid with medicinal utility. The cerebral effects can be rather spacey, making this strain perfect for repetitive tasks, but with continued consumption it supplies a euphoric mental aloofness that can help one shrug off stress and depression.  "
2305,White-Tahoe-Cookies,indica,4.7,"Aroused,Sleepy,Uplifted,Creative,Euphoric","Spicy/Herbal,Citrus,Tree,Fruit","White Tahoe Cookies is an indica-dominant strain created by Kush4Breakfast and distributed by Archive Seed Bank. This strain is a blend of The White, Tahoe OG, and an unknown Girl Scout Cookies cut, and exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweeter, hashier notes with distant OG undertones. Its sedative effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety.","['aroused', 'sleepy', 'uplifted', 'creative', 'euphoric']","['spicy', 'herbal', 'citrus', 'tree', 'fruit']","['white', 'tahoe', 'cookies', 'indica-dominant', 'strain', 'created', 'kush4breakfast', 'distributed', 'archive', 'seed', 'bank.', 'strain', 'blend', 'white,', 'tahoe', 'og,', 'unknown', 'girl', 'scout', 'cookies', 'cut,', 'exemplifies', 'attributes', 'trichome', 'coverage,', 'effect,', 'aroma.', 'gsc', 'bouquet', 'enhanced', 'cross,', 'offering', 'sweeter,', 'hashier', 'notes', 'distant', 'og', 'undertones.', 'sedative', 'effects', 'pile', 'hit,', 'weighing', 'consumer', 'seat', 'alleviating', 'minor', 'pain', 'anxiety.']","Aroused,Sleepy,Uplifted,Creative,EuphoricSpicy/Herbal,Citrus,Tree,FruitWhite Tahoe Cookies is an indica-dominant strain created by Kush4Breakfast and distributed by Archive Seed Bank. This strain is a blend of The White, Tahoe OG, and an unknown Girl Scout Cookies cut, and exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweeter, hashier notes with distant OG undertones. Its sedative effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety."
2306,White-Tygh-Dream,indica,5.0,"Sleepy,Relaxed,Happy,Focused,Uplifted","Citrus,Earthy,Flowery","White Tygh Dream is White Tygh Farms’ flagship strain. This Afghani landrace was planted and meticulously cultivated in Oregon’s Tygh Valley, and it’s said to possess archetypal indica-dominant effects and outstanding potency. White Tyge Dream emits a well-rounded bouquet of citrus and earthen, floral notes with a clean, savory finish. This strain has been utilized for minor pain, insomnia, anxiety, and stress, and will inevitably lead you closer to rest with continued consumption.   ","['sleepy', 'relaxed', 'happy', 'focused', 'uplifted']","['citrus', 'earthy', 'flowery']","['white', 'tygh', 'dream', 'white', 'tygh', 'farms’', 'flagship', 'strain.', 'afghani', 'landrace', 'planted', 'meticulously', 'cultivated', 'oregon’s', 'tygh', 'valley,', 'it’s', 'said', 'possess', 'archetypal', 'indica-dominant', 'effects', 'outstanding', 'potency.', 'white', 'tyge', 'dream', 'emits', 'well-rounded', 'bouquet', 'citrus', 'earthen,', 'floral', 'notes', 'clean,', 'savory', 'finish.', 'strain', 'utilized', 'minor', 'pain,', 'insomnia,', 'anxiety,', 'stress,', 'inevitably', 'lead', 'closer', 'rest', 'continued', 'consumption.', '  ']","Sleepy,Relaxed,Happy,Focused,UpliftedCitrus,Earthy,FloweryWhite Tygh Dream is White Tygh Farms’ flagship strain. This Afghani landrace was planted and meticulously cultivated in Oregon’s Tygh Valley, and it’s said to possess archetypal indica-dominant effects and outstanding potency. White Tyge Dream emits a well-rounded bouquet of citrus and earthen, floral notes with a clean, savory finish. This strain has been utilized for minor pain, insomnia, anxiety, and stress, and will inevitably lead you closer to rest with continued consumption.   "
2307,White-Urkle,hybrid,4.6,"Relaxed,Happy,Tingly,Euphoric,Uplifted","Sweet,Flowery,Earthy","White Urkle is a hybrid of Purple Urkle and The White bred by OG Raskal Genetics. Most phenotypes will express themselves with deep violet hues that show the influence of its Purple Urkle mother. This strain is known for having a short stature and a fruity bouquet of flavors that mix with an earthy, pine aroma that gives rise to relaxing yet balanced effects.","['relaxed', 'happy', 'tingly', 'euphoric', 'uplifted']","['sweet', 'flowery', 'earthy']","['white', 'urkle', 'hybrid', 'purple', 'urkle', 'white', 'bred', 'og', 'raskal', 'genetics.', 'phenotypes', 'express', 'deep', 'violet', 'hues', 'influence', 'purple', 'urkle', 'mother.', 'strain', 'known', 'having', 'short', 'stature', 'fruity', 'bouquet', 'flavors', 'mix', 'earthy,', 'pine', 'aroma', 'gives', 'rise', 'relaxing', 'balanced', 'effects.']","Relaxed,Happy,Tingly,Euphoric,UpliftedSweet,Flowery,EarthyWhite Urkle is a hybrid of Purple Urkle and The White bred by OG Raskal Genetics. Most phenotypes will express themselves with deep violet hues that show the influence of its Purple Urkle mother. This strain is known for having a short stature and a fruity bouquet of flavors that mix with an earthy, pine aroma that gives rise to relaxing yet balanced effects."
2308,White-Walker-Kush,hybrid,4.2,"Happy,Energetic,Uplifted,Euphoric,Creative","Earthy,Sage,Citrus","DNA Genetics’ White Walker Kush (not to be confused with Whitewalker OG) is a hybrid cross of elite parent strains White Widow (Ingemar cut) and Skywalker. Taking after its White Widow mother, this 60/40 sativa-dominant strain comes blanketed in a snow-like layer of crystal resin. The influence of Skywalker is apparent in White Walker Kush’s heavily relaxing effects which are best reserved for a lazy evening in. Boosting both mood and appetite, White Walker Kush is a great choice for patients treating conditions like anorexia or cachexia.","['happy', 'energetic', 'uplifted', 'euphoric', 'creative']","['earthy', 'sage', 'citrus']","['dna', 'genetics’', 'white', 'walker', 'kush', '(not', 'confused', 'whitewalker', 'og)', 'hybrid', 'cross', 'elite', 'parent', 'strains', 'white', 'widow', '(ingemar', 'cut)', 'skywalker.', 'taking', 'white', 'widow', 'mother,', '60/40', 'sativa-dominant', 'strain', 'comes', 'blanketed', 'snow-like', 'layer', 'crystal', 'resin.', 'influence', 'skywalker', 'apparent', 'white', 'walker', 'kush’s', 'heavily', 'relaxing', 'effects', 'best', 'reserved', 'lazy', 'evening', 'in.', 'boosting', 'mood', 'appetite,', 'white', 'walker', 'kush', 'great', 'choice', 'patients', 'treating', 'conditions', 'like', 'anorexia', 'cachexia.']","Happy,Energetic,Uplifted,Euphoric,CreativeEarthy,Sage,CitrusDNA Genetics’ White Walker Kush (not to be confused with Whitewalker OG) is a hybrid cross of elite parent strains White Widow (Ingemar cut) and Skywalker. Taking after its White Widow mother, this 60/40 sativa-dominant strain comes blanketed in a snow-like layer of crystal resin. The influence of Skywalker is apparent in White Walker Kush’s heavily relaxing effects which are best reserved for a lazy evening in. Boosting both mood and appetite, White Walker Kush is a great choice for patients treating conditions like anorexia or cachexia."
2310,White-Widow,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Energetic","Earthy,Woody,Pungent","Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.","['happy', 'relaxed', 'euphoric', 'uplifted', 'energetic']","['earthy', 'woody', 'pungent']","['famous', 'strains', 'worldwide', 'white', 'widow,', 'balanced', 'hybrid', 'bred', 'netherlands', 'green', 'house', 'seeds.', 'cross', 'brazilian', 'sativa', 'landrace', 'resin-heavy', 'south', 'indian', 'indica,', 'white', 'widow', 'blessed', 'dutch', 'coffee', 'shop', 'menu', 'birth', '1990s.', 'buds', 'white', 'crystal', 'resin,', 'warning', 'potent', 'effects', 'come.', 'powerful', 'burst', 'euphoria', 'energy', 'breaks', 'immediately,', 'stimulating', 'conversation', 'creativity.', 'white', 'widow’s', 'genetics', 'given', 'rise', 'legends', 'like', 'white', 'russian,', 'white', 'rhino,', 'blue', 'widow.', 'still,', 'growers', 'prefer', 'cultivation', 'original', 'white', 'widow,', 'flowers', '60', 'days', 'indoors.']","Happy,Relaxed,Euphoric,Uplifted,EnergeticEarthy,Woody,PungentAmong the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors."
2311,White-Zombie,hybrid,4.0,"Happy,Creative,Relaxed,Euphoric,Uplifted","Pungent,Sage,Earthy","White Zombie is a potent hybrid strain with cerebrally-focused effects conducive for creative endeavors and stress relief. While this strain likely contains some Zombie OG genetics, it's also possible that White Zombie's maker was just a diehard Rob Zombie fan. Its euphoric and relaxing effects make it a perfect remedy for anxiety and depression, but come prepared with enough lazy activities: the psychoactivity of this strain is long-lasting. ","['happy', 'creative', 'relaxed', 'euphoric', 'uplifted']","['pungent', 'sage', 'earthy']","['white', 'zombie', 'potent', 'hybrid', 'strain', 'cerebrally-focused', 'effects', 'conducive', 'creative', 'endeavors', 'stress', 'relief.', 'strain', 'likely', 'contains', 'zombie', 'og', 'genetics,', ""it's"", 'possible', 'white', ""zombie's"", 'maker', 'diehard', 'rob', 'zombie', 'fan.', 'euphoric', 'relaxing', 'effects', 'perfect', 'remedy', 'anxiety', 'depression,', 'come', 'prepared', 'lazy', 'activities:', 'psychoactivity', 'strain', 'long-lasting.']","Happy,Creative,Relaxed,Euphoric,UpliftedPungent,Sage,EarthyWhite Zombie is a potent hybrid strain with cerebrally-focused effects conducive for creative endeavors and stress relief. While this strain likely contains some Zombie OG genetics, it's also possible that White Zombie's maker was just a diehard Rob Zombie fan. Its euphoric and relaxing effects make it a perfect remedy for anxiety and depression, but come prepared with enough lazy activities: the psychoactivity of this strain is long-lasting. "
